amfi_code,scheme_name,fetch_status,nav_records,latest_nav,latest_nav_date,fetched_at
125497,HDFC Top 100 Direct,FAILED,0,,,2026-06-24T13:01:14.461903
119551,SBI Bluechip Direct,SUCCESS,3252,106.041,2026-06-23,2026-06-24T13:01:18.431477
120503,ICICI Bluechip Direct,SUCCESS,3323,107.5421,2026-06-23,2026-06-24T13:01:19.550065
118632,Nippon Large Cap Direct,SUCCESS,3314,100.4605,2026-06-23,2026-06-24T13:01:20.577445
119092,Axis Bluechip Direct,SUCCESS,3581,6200.8511,2026-06-23,2026-06-24T13:01:21.575402
120841,Kotak Bluechip Direct,SUCCESS,3317,249.9814,2026-06-23,2026-06-24T13:01:22.661752
