amfi_code,scheme_name,fund_house,latest_nav,latest_nav_date,total_records,earliest_date
119551,SBI Bluechip Direct,Aditya Birla Sun Life Mutual Fund,106.041,2026-06-23,3252,2013-01-02
120503,ICICI Bluechip Direct,Axis Mutual Fund,107.5421,2026-06-23,3323,2013-01-02
118632,Nippon Large Cap Direct,Nippon India Mutual Fund,100.4605,2026-06-23,3314,2013-01-02
119092,Axis Bluechip Direct,HDFC Mutual Fund,6200.8511,2026-06-23,3581,2012-12-31
120841,Kotak Bluechip Direct,quant Mutual Fund,249.9814,2026-06-23,3317,2013-01-07
